origin: C(C)(C)CNCC(C)(C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: C12C[N+](CC(C1(C)C)(C)CC2)(C)C, cl: C1CCCCN1Cc1c(F)cccc1, target: CC[P+](CC)(CC)CC
origin: C12[N+](C)(CC(C1)C(CC2)(C)C)C, cl: c1(F)cccc(c1)C[N+](Cc1cc(F)ccc1)(C)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C1(C)[N+](C)(CC)C(CCC1)C, cl: C1CCCN2C1C1C[N+]3(CCCCC3C(C2)C1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1CC[N+](CCCCC[N+]2(CCCC2)C)(C1)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: [N+](CC)(CC)(CC)CC
origin: C1CCC(C)(C[N+]1(C)C)C, cl: c1c(CN2CCCC2)cccc1F, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: [N+]1(CC(CC(C1)C)C)(CC)CC, cl: CCCC[n+]1ccn(C)c1C, target: CC[P+](CC)(CC)CC
origin: C1[N+](CC(C)CC1C)(C)C, cl: c1ccccc1C(O)C(C)NC, target: CC[P+](CC)(CC)CC
origin: C1CC([N+](C)(C(C)C1)C)C, cl: c1c(cccc1)CN1C(CO)CCC1, target: CC[P+](CC)(CC)CC
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: C1CC(N(C2CCCCC2)C)CCC1, target: [P+](CC)(CC)(CC)CC
origin: CC(CN)(N(C)C)N, cl: c1c(cccc1)C[N+](C)(C)Cc1c(cccc1)F, target: C(C)(C)N(C(C)C)CC
origin: C1CC2CCC[N+](C)(C)C2CC1, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C[C@H]1C[NH2+]C[C@@H](C)C1
origin: C12CC3CC(CC(C1)C3)[N+](C)(C2)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C1[C@H](C)[NH2+][C@H](C)CC1
origin: C(C)C[N+](CCC)(CCC)CCC, cl: c1c(CN2C(CO)CCC2)cccc1, target: C(N(C(C)C)CC)(C)C
origin: C1CCCNCC1, cl: C1CCCC2C3CC(CN21)C1[N+](C3)(CCCC1)C, target: CC(N(C(C)C)CC)C
origin: C1CC[N+](C)(CCCCC[N+]2(CCCC2)C)C1, cl: CCCN(CCC)CCC, target: C(C)(C)N(C(C)C)CC
origin: C1CC2[N+](C)(CCCC2C1)C, cl: N(CC)(CC)CC, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1CCC[N+](C1)(CCC[N+]1(C)CCCCC1)C, cl: C1N(CCCC1)Cc1ccccc1, target: CC[N+](CC)(CC)CC
origin: C1CCCCCN1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: [N+](CC)(CC)(CC)CC
origin: [n+]1(cn(cc1)C)CCCC, cl: C1C2N(CCC1)CC1CC2C[N+]2(C)C1CCCC2, target: C(C)(N(CC)C(C)C)C
origin: C([N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, cl: C1C2C3CC(C[N+]1(C)CC)C1CCCCN1C2, target: C(N(CC)C(C)C)(C)C
origin: C[N+]1(C)CC(CC(C1)C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C1(C)(C)CCCC(C)(C)[N+]1(C)CC
origin: CC(C)(C)N(C(C)(C)C)C, cl: C(CC)NCCC, target: CC(C)N(C(C)C)CC
origin: C1([N+](C)(C(C)CCC1)C)C, cl: c1(ccccc1)CN1CCCCC1, target: [N+]1(CC)(CC)[C@H](C)CCC[C@@H]1C
origin: [N+]1(C)(CC(C)CC(C1)C)CC, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1([N+](C)(CCCC)C)CCCC1, cl: c1cc(C(O)C(NC)C)ccc1, target: CC(C)N(C(C)C)CC
origin: C1CCCC[N+]1(CCCCC[N+]1(C)CCCCC1)C, cl: C1CCC2N(C1)CC1CC2C[N+]2(C)C1CCCC2, target: C(C)(N(C(C)C)CC)C
origin: C(CC[N+](CCC)(CCC)CCC)C, cl: c1c(CN2CCCC2)cccc1, target: C1C(C)CC(C)C[N+]1(C)C
origin: CC(N(C(C)C)CC)C, cl: C1N(CCC1)Cc1ccccc1, target: C(C)N(C(C)C)C(C)C
origin: C(N(C)CCO)CO, cl: C[N+](C)(C)C1C2CC3CC(C2)CC1C3, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: c1(n(c[n+](c1)C)C)C, cl: c1c(cccc1)C(O)C(C)NC, target: C([N+](CC)(CC)CC)C
origin: N(CC)(CC)CC, cl: C(CC)N(CCC)CCC, target: CCN(C(C)C)C(C)C
origin: N(CC)(CC)CC, cl: C(N(CC)CC)C, target: CC(C)N(C(C)C)CC
origin: C1C(C)[N+]2(CCCC2)C(CC1)C, cl: N(C)CC(c1ccccc1)O, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: C1CCC(C)(C[N+](C1)(C)C)C, cl: c1cc(ccc1)C(O)C(NC)C, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: C1CC(C)[N+](C(C1)C)(CC)C, cl: c1(F)cccc(CN2CCCC2)c1, target: C[N+]1(C)C(C)CCCC1C
origin: [N+]1(CC(CC(C)C1)C)(CC)CC, cl: C(C)(C(N(CC)C)C)c1ccccc1, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CCC(C)[N+](C)(CC)C1C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C[N+]1(CC)C(C)CCCC1C
origin: C(C[N+]1(C)CCCC1)CCC[N+]1(CCCC1)C, cl: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, target: c1n(C)c[n+](CC)c1
origin: C1C(CC)[N+](C)(C)CCC1, cl: C1C(CO)N(Cc2ccccc2)CCC1, target: C1[N+](C)(C)CC(C)CC1C
origin: C(NCCN)CNCCNCCN, cl: CCN(CC)CC, target: C(CNCCNCCN)N
origin: C(NCCNCCNCCN)N, cl: C1CCCN1Cc1ccc(F)cc1, target: C(CNCCN)CNCCN
origin: C1CCCN1C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: CC1(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NCCN1
origin: C(C)(C)N(C(C)C)CC, cl: C(C)(N(CC)C(C)C)C, target: C1CN[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)N1
origin: C1CCC(C)C[N+]1(C)CC, cl: c1cccc(CN2CCCC2CO)c1, target: C1[C@H](C)C[C@H](C)C[N+]1(C)C
origin: C1C([N+](C)(C(C)CC1)C)C, cl: N(C(C(c1ccccc1)O)C)C, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: C12CC3CC([N+](C)(C)C)(C1)CC(C3)C2, cl: C1CCCN1Cc1cccc(F)c1, target: CC1C[N+](C)(C)CC(C)C1
origin: C1CC([N+](C(C)(C1)C)(C)C)(C)C, cl: CC(CN(C)C)N(C)C, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1C(C)[N+](CC)(C(CC1)C)CC, cl: C(CN(CCO)CC)N(C)C, target: C12CCCC(CCC1)[N+]2(C)C
origin: C1CC(C)(C[N+](C1)(C)C(C)C)C, cl: C1CCCN1Cc1ccccc1, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: C1[N+](CC)(C(CCC1)C)C, cl: c1ccc(CN2CCCC2)cc1F, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1C(C[N+](CC1C)(C)CC)C, cl: C1CN(CCC1)Cc1ccccc1, target: CC[P+](CC)(CC)CC
origin: C1C(C)CC(C[N+](C1)(C)C)C, cl: C(CN(CCO)CCO)O, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1(CC(C[N+](C)(C)C1)C)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1(C)(C)CCCC(C)(C)[N+]1(C)CC
origin: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, cl: [n+]1(C)c(C)n(C)cc1, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1CCC([N+](C1C)(C)C)C, cl: c1cccc(C[n+]2ccn(C)c2C)c1, target: C1CC(C)[N+](C)(C)C(C)C1
origin: C1CC2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: c1ccc(CN2CCCC2)cc1F, target: C1C2CCC[N+](C)(C)C1C2(C)C
origin: C1CCC2C([N+](C)(CCC2)C)C1, cl: C1C2C3[N+](CCCC3)(CC1C1N(C2)CCCC1)C, target: C1(C)(C)CC2(C)C[N+](C)(C)C(C2)C1
origin: C1CC([N+](CC)(C)C(C)(C1)C)C, cl: C1CCN(Cc2ccccc2)C1CO, target: C1C[N+](C)(C)C2C(C)(C)C(C1)C2
origin: C1CCC([N+](C1)(C)C)CC, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C[N+]1(C)C2CC(C(C)CC1)C2(C)C
origin: C(C)C[N+](CCC)(CCC)CCC, cl: c1ccc(CN2CCCC2CO)cc1, target: CCN(C(C)C)C(C)C
origin: C(CC[n+]1cn(C)cc1)C, cl: c1(c(C)[n+](c(n1C)C)C)C, target: N(C(C)C)(C(C)C)CC
origin: C(CCC[N+]1(C)CCCC1)C[N+]1(CCCC1)C, cl: C(C1N(Cc2ccccc2)CCC1)O, target: CC(N(CC)C(C)C)C
origin: C1CCCC(C1)N, cl: c1c(CN2C(CO)CCC2)cccc1, target: CCn1cc[n+](C)c1
origin: C(C)(N(C(C)C)C(C)C)C, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C(N(CC)C(C)C)(C)C
origin: C1(C)CCCC(C)[N+]1(CC)CC, cl: c1(C)ccccc1C(O)C(NC)C, target: CC[P+](CC)(CC)CC
origin: C1CCCC([N+](C)(CC)C)C1, cl: c1(c(F)cccc1)CN1CCCC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CC[N+]2(C(C)CCCC2C)C1, cl: C1CCCN1Cc1cccc(c1)F, target: C1CC(CC)[N+](C)(C)CC1
origin: CC1CCCC(C)[N+]1(CC)CC, cl: C1CCCC2C3CC(C[N+]12C)C1N(C3)CCCC1, target: C1(C)CCCC(C)[N+]1(CC)C
origin: C1CC(C)(C[N+](C)(C1)C)C, cl: C(N(CC)CC)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1(C)CCCC([N+]21CCCC2)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: CC1[N+]2(CCCC2)C(C)CCC1
origin: C1(C)CC(C)C[N+](C1)(C)C, cl: c1cccc(c1)C(O)C(C)NC, target: CC1(C)C=CC(C)(C)C[N+](C)(C)C1
origin: CC(C)(N)CN, cl: c1ccc(cc1)C(O)C(NC)C, target: C([N+](CC)(CC)CC)C
origin: C(CCCCCCCCCC)CCCCCCC[N+](C)(C)C, cl: c1(C)[n+](C)ccn1CC, target: CC(N(CC)C(C)C)C
origin: C1CC[N+](CCCCC[N+]2(C)CCCC2)(C1)C, cl: C12C3CCCCN3CC(C3CCCC[N+]3(C)C1)C2, target: C(C)(C)N(CC)C(C)C
origin: C1[N+](CCCCC[N+]2(C)CCCC2)(C)CCC1, cl: c1cc(F)c(cc1)CN1CCCC1, target: CN1CCN(C)CCN(C)CC1
origin: C(C)(C)N(C(C)C)CC, cl: c1cc(CN2C(CO)CCC2)ccc1, target: N1(C)CCN(C)CCN(C)CC1
origin: C1CC[N+](CCC1)(CCCC[N+]1(C)CCCCCC1)C, cl: c1c(F)cccc1CN1C(CCC1)CO, target: C1[C@@H](C)[N+](C)(C)[C@@H](C)CC1
origin: CC1(C)C[N+](C)(CC(C)(C)C=C1)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
