origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1CN(C)CCN(, target: N1(C)CCN(C)CCN(C)CC1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)N(C(C)C)C(C)C, cl: N(CC)(C(C)C)C(C)C, target: C(C)N(C(C)C)C(C)C
origin: C(C)N(C(C)C)C(C)C, cl: N(CC)(C(C)C)C(C)C, target: C(C)N(C(C)C)C(C)C
origin: [NH2+]1C[(+]2(C)CCCCC2)(C)CC1, cl: [NH2+]1C[C+](C)(CCCC)(C)CCC1, target: [NH2+]1C[C@@H](C)C[C@H](C)C1
origin: [C@H]1(C)C(C)C(C)C, cl: [C@H]1(C)CcCc(c(n)C)C1C, target: [C@H]1(C)[NH2+][C@@H](C)CCC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1[N+](CC)CC(CCC))CCCC, target: C[N+]1(C)C(C)CCCC1C
origin: CC1[N+](C))CCC(1)CC(C)CC, cl: CC[N+]1(CC)CCCCCCC1, target: CC1[N+](CC)(CC)C(C)CCC1
origin: CC[N+]1(CC)C(C)CCCC1C, cl: C1(C)CCCC([)+]1(C)CCCCC[N+]1(C)CCCCCC, target: CC[N+]1(C)C(C)CCCC1C
origin: c1c[n+](CC)cn1C, cl: n1(C)cc[n+](CC)c1C, target: c1c[n+](CC)cn1C
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1C(C)C[N+](C)(C)CC1C, target: CC1C[N+](C)(C)CC(C)C1
origin: NCCNCCNCCNNCCNCCN, cl: C(CNCCNCCN)N, target: NCCNCCNCCN
origin: N(CCCNCCNCCN)CCN, cl: NCCNCCCNCCNCCN, target: N(CCCNCCN)CCN
origin: [C@@H]1(CC))cCc(c[c+](c)cc1)c1, cl: C1[C@H](C(C)(C)C1)C, target: [C@@H]1(C)NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: C[C@@H]1N(C)C, cl: C1[C@H](C(CC([)+]2CCCCC))CCC))Cc11ccccc1, target: C[C@@H]1NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: C1[C@H](C([)+]2ccccc2)Cc(c)cc1, cl: C1[N+](C)(C)(C)CCCC1(C)C, target: C1[C@H](C)C[C@H](C)C[N+]1(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CC(C1)C)C, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C[N+]1(C)CC(C)(CCC1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: [N+]1(CC)(CCCC[N+]2(C)CCCC22CCCCC22)CCCCC1, cl: [N+]1(CC)CCCC(C)(C1)C, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C12[N+](C)(CCCC(C2)CC()))1CCCC, target: C[N+]1(C)C2CCCC1CCC2
origin: CC[N+]1(C))(C(C)C)CCCC, cl: C1CC(C)[N+](CC)(CCCC)(C1CCCC1, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C([P+](CC)(CC)CC)C, cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC1[N+](C))CCCC(C)(1)C=(C)C, cl: C1C(C)[N+](C)CC(C))1CC, target: CC1[N+](C)(C)C(C)CCC1
origin: C([N+]1(CCCC[[+]]2CCC(CCC))CC))CCCCCC, cl: [N+]1(C)(CCCCC1)C, target: C([N+]1(C)C(C)(C)CCCC1(C)C)C
origin: [N+]1(CC)(CCCCCNNCCC)CC, cl: C([N+]1(CCCCC11CCCCC1)C)C, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: CC1[N+](C)(C)C(C)CCC1, cl: C1(C)CCCC([)+]1(C)C, target: CC1[N+](C)(C)C(C)CCC1
origin: C1(C)(C)CCN[C+](C)(C)C11, cl: C12C(C)(C)C(C1)CNCC2, target: C1(C)(C)C2CC1[N+](C)(C)CCC2
origin: C1[N+](C)(C)CC2C(C1CCC2)CC, cl: C1[N+](C)(CCCCC)NCCCC1, target: C1[N+](C)(C)C2CC1(C)CC(C)(C)C2
origin: C1(C)(C)CNNCCCCC, cl: C1(C)(C)C2CC1CNCC[, target: C1(C)(C)C2[N+](C)(C)CCCC1C2
origin: [N+]1(C)(C)CCCCCCC, cl: C[N+]1(C)CC(CCCC)(C)CC1, target: [N+]1(C)(C)C2CC(C2(C)C)C(C)CC1
origin: CC(C)N(CC)CCC(C)(C)C, cl: CC(C)N(CCCCC(())CCCC((C)C)CC(C)CC(((()))))CNNCCCO, target: CC(C)N(CC)C(C)C
origin: C(N(C(C)C)CCCCCN(C)C)C, cl: CCN(C(C)C)C(C)C, target: C(N(C(C)C)C(C)C)C
origin: C(C)(C)N((C)C)CC, cl: CC(C)N(CCCCC(())))C, target: C(C)(C)N(CC)C(C)C
origin: CCn1cc[n+](C)c1, cl: c1n(CC)c[n+](c1)C, target: CCn1cc[n+](C)c1
origin: C(C)N(C(C)C)C(C)C, cl: C(N(C(C)C)CC)C, target: C(C)N(C(C)C)C(C)C
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC(()C)CC(()C)C)(C)C, target: CC[P+](CC)(CC)CC
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1(C)C[N+](C)(CCCC)(CCC))CC11, target: C1(C)C[N+](C)(C)CC(C)C1
origin: CCC1[N+](C)(C)C(C)CCC1, cl: C(C1[N+](C)(C)CCCC1)C, target: CCC1[N+](C)(C)CCCC1
origin: C1CC(C)[N+](C))CC1(C)CC(C)(C)C1C, cl: CC[N+]1(CC)CC(CCCC)C11CCCCC, target: C1CC(C)[N+](C)(CC)C(C)C1
origin: C1(C)[N+]2CC(C)CC(C)CCC, cl: CC1CCCC(CN[[+]11(C)CCCCC)), target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: C1(C)[N+](C))CC(C)CC1C, cl: C1(C)[N+](CC)CC(CCCC)C1, target: C1(C)[N+]2(CCCC2)C(C)CCC1
origin: CC1(C)C[N+](CC(())C(()CC)CCC))CC1, cl: CC1(C)C[N+](CCC1)(CCCCCC[N+]1(C)CCCCC1)C, target: CC1(C)C[N+](C)(C)CC(C)(C)C=C1
origin: C([N+](CC)(CC)CCCCCC[C+](CC(C)C)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(C)(N(C(C)C)CC)C, cl: CC(N(C(C)C)CC)C, target: C(C)(N(C(C)C)CC)C
origin: N(C(C)C)((C)CCC(C)C)CC, cl: CC(C)N(C(C)C)CC, target: N(C(C)C)(C(C)C)CC
origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1N(C)CCN(C)CCN(CCC(()C1N(C)CCC))C)CC, target: N1(C)CCN(C)CCN(C)CC1
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN1C, cl: N1(C)CCN(C)CCNNCCC, target: C1CN(C)CCN(C)CCN1C
origin: C1CC[C@@H(+]2(c)cccc2)C, cl: C1CC[C@H]+]2C(C1)CC, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
origin: C1CC[C@@H(+]](()]cccc1)[1+]1ccccc1, cl: [C@H]1(C)CCCCCCN, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
