origin: c1c[n+](CCCCCC[n+]2cccccc1, cl: Cn1cc[n+](CC)c1, target: c1c[n+](CCCC)cn1C
origin: CCN(CC)CCCC2, cl: C(C[N+](C)(CCO)CCO)O, target: CCN(CC)CC
origin: C(N(CC)CCCCCC[N+](C)(C)C)CCCCCCC1, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CCCCCC)ccc1, cl: C(N(C)C)(=O)C, target: C(N(CC)CC)C
origin: CCC[N+](C)(C)CCCCCCCCC1, cl: C(C)N(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: C([N+](CC)(CC)CC)CCCCCC1, cl: C[N+]12CC3CC(CN4C3CCCC4)C2CCC1, target: C([N+](CC)(CC)CC)C
origin: C1CCCCC1N(C)CC1CC3CC1CCCCCCC1, cl: C(O)[C@H](CCO)C, target: C1CCCCC1N(C1CCCCC1)C
origin: C(CC)[N+](CC)(CC)CCCCCCCC[n+]1ccn(C)cc1, cl: C(N(CCC)CCC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1CCCCC1NCCCCC1, cl: C1(N(C2CCCCC2)C)CCCC1, target: C1CCCCC1N(C1CCCCC1)C
origin: C([N+](CC)(CC)CCCCC2)CCCCCCCCC, cl: CCCN(CCC)CCC, target: C([N+](CC)(CC)CC)C
origin: c1cccc(CN1CCCCC[N+]1(C)CCCC2)(C)C, cl: CCN(CC)CC, target: c1cccc(CN2CCCC2)c1
origin: c1[n+](CCCCCCCCCCCC[n+](C)cc1)C, cl: N(CC)(CC)CC, target: c1[n+](CCCC)ccn1C
