origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: n1(c([n+](cc1C)C)C)C, target: C(C)N(CCO)CC
origin: C(C)([n+]1ccn(C)c1)CC, cl: C1N(CCC1)Cc1cccc(F)c1, target: O[C@@H](c1ccccc1)[C@H](C)NC
origin: c1cccc(C[n+]2ccn(C)c2C)c1, cl: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, target: C1N(Cc2ccccc2F)CCC1
origin: c1cccc(C(C(C)NC)O)c1, cl: C1CC(CO)N(Cc2ccccc2)C1, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C(C)CNCCC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: c1cc(CN2CCCC2CO)ccc1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C1NCCCCC1
origin: C(N(CCC)CCC)C, cl: C1CCN(Cc2ccccc2)C1, target: C1CN(Cc2cc(F)ccc2)CC1
origin: C1CCCN(Cc2ccccc2)C1, cl: c1n(C)c([n+](c1C)C)C, target: N1(Cc2ccc(F)cc2)CCCC1
origin: C(C)N(CC)CC, cl: C12C3CCCCN3CC(C3CCCC[N+]3(C)C2)C1, target: [C@H]12C[N+]3(C)[C@H](CCCC3)[C@H](CN3CCCC[C@@H]13)C2
origin: C1CCCCN1Cc1ccccc1, cl: c1cc(CN2CCCC2)c(F)cc1, target: N(C)[C@@H](C)[C@H](O)c1ccccc1
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C1CCN(C1)Cc1ccccc1, target: C(O)CN(CCO)CCO
origin: C(CO)(c1ccccc1)N1C, cl: C1CCCN1Cc1cc(F)ccc1, target: N(CC)(C(C)C)C(C)C
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(C)N(CCO)CC
