origin: C1N(CN(CCC(CCCCCCCCCC, cl: C1C1C(C)NCNNCCcNC, target: C1NCCN(CCN)C1
origin: C1CCNN+](CCCC)C1CC1c(c(c1, cl: C1O(CNN11, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: [Nc1C(CcOCcNCNCCCC, cl: C1[C[CCN+CC1CN++C2C1N++CC2C2)CN++111, target: C(C)N(CC)CC
origin: C11(CcNCcCCNcnCCCCCC((CCCC111CCCC, cl: C(c1CCCc)CcCCcccc, target: CCN(CC)CC
origin: C1OCCCNCCNC[CCcCCCCCCCC(CCCCCCcC1C1C, cl: C1[CO2[NN(CCCcCCCCC1, target: C(N(CC)CC)C
origin: C1[N+](C(CCN+](C(CC1CN+]N3CCCC3)CN++N1C1111N+]12C, cl: C[CCCCN(CCC(C, target: C1[C@@H]2C[C@@H](CN3[C@H]2CCCC3)[C@H]2CCCC[N+]12C
origin: C11N(C((CNC[CC, cl: C1(CcC1ccc(c1, target: CCCNCCC
origin: C1(C2CCCC1cc(c(F)[1, cl: C1CNNNN1CCCCCCCCC, target: C1CCCN1Cc1cccc(F)c1
origin: C1c)C[N+]1Cc1C(Cc1)CcC, cl: C1cn+](cc2C)ccn1C((C, target: C(C)C[N+](CCC)(CCC)CCC
origin: c(N)C(CcNCcNCNcCcCC, cl: C1C1CN(Cc))CcC, target: C(C)N(CC)CC
origin: C1(C)N)cCN, cl: C11CcCCNNCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCCCC, target: CN(CCO)CCO
origin: CNCCCC[CCN+](CC(C)C)CC1CC1)3)C2, cl: C1C1CCCNC1)(C)CCNCC1)C, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C11(Cc2CcNCccNCCCCCCCC(CCCC(cC1C, cl: C11(CcOCcNCNCcCCCCCCC, target: CCN(CC)CC
origin: C1N111NN+]((CCCCCC1, cl: C11N+]1C)1(Cc1C11CcCccC, target: C(CCC)[N+]1(C)CCCC1
origin: [(N1C1Cc)CcNCcccccC, cl: C1N1CCCCc)CcCcC, target: C(C)N(CC)CC
origin: C1cN+]1ccn(C)c1)CCC, cl: CN+++1CCC)C(C)2ccccc2)CCC[, target: C([n+]1ccn(C)c1)CCC
origin: C[[[C3(CC(CC1[CN+]3C3(C)C)C3)C2, cl: CN(C1ccc(c1)C(CCCCC, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1CCC2ccccc2)CN++C(C))CC11, cl: c1NCCC)C()C[CNNNCcCCCCCCCCCCCcCC11CC1C1, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: CN1(CcOCcNCNCcCCCCCCC(CCCCC, cl: C1CCCCCCC[112)C[CC[[11, target: CCN(CC)CC
origin: C1(CcCC)CCCcC)CCccC, cl: C1cC[2CCCCN+]+(C))ccccc1, target: CN(C(=N)N(C)C)C
origin: C1O)CC)))C(N)C[NNccc, cl: C1[(Cc)CcNccCcccCcCCCCCcCccCCc, target: C(CN(CCC)CCC)C
origin: C1N)C(CCOCcCCNNNCCCC, cl: C11ccC[2C(CC2)cccc1, target: C(C)N(CC)CC
origin: C(CCCN+](CC(C)CCCC[CC(CC(C2)C3)C2, cl: C(1(CcCCcNNNccCcCC, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C12CN2[[CCCCCCCCCCCCCCCC, cl: c1CCCCCCCC1C2)CCCCCC11, target: C1CCCC(N)C1
origin: C(C1N(Cc)Cc, cl: C1cccC(CcC)ccc1, target: N(CC)(CC)CC
origin: C1CCN+CC(CN+]3(CCN+]CC(CC)CN+]]C3CN+](CC(CC)CCCC2, cl: C1CC)2cccc(F)c2)CNC+C(C))CC11, target: N12[C@H]([C@H]3C[C@@H](C1)[C@@H]1[N+](C)(C3)CCCC1)CCCC2
origin: C1[CC((CC(C2)CC((3, cl: C1CCCC)Cc)CNCNNNCCC, target: C1C2CC3CC(C2)CC1C3[N+](C)(C)C
origin: C1[n(ccccC[cn+]1CC, cl: C1CCNNN[1, target: c1cn(C)c(C)[n+]1CCCCCC
origin: C(O)N(Cc)CcNcccNc(, cl: C(c1CCOC))c[CcccCCC((((((CcC(Cc, target: C(C)N(CC)CC
origin: O1O1C)C)CNCCC)CNCCCNCCC, cl: C1CN+]((CCCN+CCC(CN+]CC3CCCCCCCCN+]N3)N++N(C3)C1)C111, target: C(N(C(C)C)C(C)C)C
origin: CCCC))CC1cc[n+](C)c1C, cl: C1cccCn+CnCcCCCN++Ccc)cC1c111, target: OC(CO)Cn1cc[n+](C)c1C
origin: C1(CCCCCNcC(CCCCCCCC(C(CCC((CCCC(CCCCCCCCCCCC1CC1111, cl: CN[(((CC(1c((((F)c1, target: CN(C)C
origin: C[[CCCNCC1C((CN+](C3(CCCCCC2)C2, cl: cNOCCCOC))CNCccCCCCCCCCCCCCCCcCC1C, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: ON1c([n+](cc1))))c1, cl: C1N(CCCCCC2CCN(CC2CC1CC2)C11C111, target: Cn1cc[n+](CCCCCC)c1C
origin: C(cN+]1C)))(C)C)C)C)cCCccc2c, cl: C1[C(CC)2cccc(2)C(CCCC, target: C([N+](CCC)(CCC)CCC)CC
origin: C[C(C((((N+]C(CN++]N(C1N+]1(C1CNC11C(CNH]44C), cl: C1C1C(CcNC, target: C1N2CCCC[C@H]2[C@@H]2C[N+]3(C)[C@@H]([C@H]1C2)CCCC3
origin: C1CCCCOC))CnCccNCCC((, cl: C1O1C(CCNCcccccccCCC, target: C(N(CC)CC)C
origin: C11[(c)cc[)[n+](ccc1, cl: O11(C()CcNNcccCcCCCCC(CCCcC(c1111111C1c1111C1C111111111111111CC111111111111CC11111111111111111111111111111111111111111C111111C111111111111111111111C1111111111111111111111111111111111111C1111111C1111111111111111111111111, target: Cc1n(C)c(C)[n+](C)c1
origin: C(C)1)(C)))C1NNCN[N, cl: c(N)C(CcCCcNcccccCCCCCCCCCC((C, target: N(CCC)(CCC)CCC
origin: C1cc(c)ccc1C(1C(CC1, cl: C1(CCCC)CCCCC)CCCccCc, target: c1cc(F)ccc1CN1CCCC1
origin: C1C1(CcC)CCCCCCCC, cl: C1c((((C(CCC)c1, target: OCCN(CCO)CCO
origin: C1[ccC[2C(CCN+]N2C))ccc1, cl: C(C1C([CNNcnnnCCc(, target: c1cc(CN2CCC[C@H]2CO)ccc1
origin: CN++N2C)CCN+]]C1CC)C)C1ccccc1, cl: C1N+]1(C((((N+](((CN+]]N(C((C(CCCN+]N(CN+](((C2)C2, target: [C@H](O)([C@@H](NC)C)c1ccccc1
origin: C11C((C(1(NCC(CCC, cl: CN[((2(CC1c((((1, target: NC1CCCCC1
origin: C(CC[([(CCCCCCCCCCCCC, cl: C1(CccCNNccCCCC(CccCcCCCCCcCCC(CCC, target: C1CCCCNC1
origin: C111(CcC)CCCCCCCcCC(C, cl: C1=N+](CC1)(C1c)C)C)C, target: OCCN(CCO)CCO
origin: C11[(CCN)CcNNNNNNC, cl: C1N+]1(C(C((N+](C(CN++]C(C((CNCCCC(CCCC2)CN+cNC(C2)C2, target: CCCN(CCC)CCC
origin: C1[CNCCCCCCCCNC22)CCC1, cl: C11(C[CCcNCNCCCCCCCCCCCCCCCCC, target: C1CC(N(C)C2CCCCC2)CCC1
origin: c11c(CcO)C(NNNNcNc, cl: C1OCCCCCCC[C12)C[CCCC1, target: CCCN(CCC)CCC
origin: C1CCCCCC(C22(C22CC2C22)C22CC2CC2, cl: C1CCC((CCN+](CC(CCC)CC1C21C3)C2, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C11N+](C))(Cc1C1CCcCcCC(CC(C, cl: CCN+]1C)(CCCCCCCCC(CC1C3)C2)C, target: CC[N+](CC)(CC)CC
origin: C1N)CCCC)Cc)CNCCc, cl: C1N)CCCc)CcNccCccC, target: C(C)N(CC)CC
origin: C1ONCCCC)CcCcccccC, cl: C1O)(C)))C)O)[[Ncccc, target: C(C)N(CC)CC
origin: C1[C22CC(N++C(CN++C((CN+](CC(CCN+]33C2)CNNcN1, cl: C1CC)CC))CCC)c[NNccc, target: C1CCCN2C[C@H]3[C@@H]4[N+](C)(C[C@H](C3)[C@H]12)CCCC4
origin: C1CN+]+CCCC(((C(1ccccc1, cl: C(C)C(C))C[NCcCc, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: C11(CcNCcNcNccCCCCCCCC(CCCc1cc11C1111Cc11C11111C11111111C(11111111111111C11C1111111111111111111111111111c111111111111111111111111111111C111111111111111C111111111111111111111111C1111111111111111111111111111111111111111(1, cl: C1[C[2C(C[N+]+(C))Cccccc)c1, target: CCN(CC)CC
origin: C(N)CCCC)CcCNNCC, cl: C1(C)1ccccc1)C[CCN(nCC, target: C(C)N(CC)CC
origin: C1C1N(CNNCcCNcccc, cl: C1O)CN+]+n(C(((1CC1ccccc1, target: N(CC)(CC)CC
origin: C(1(CcCCcCCNCNCCCCCCCCCCCcCCC(CCCCCCCCCC1CC11C1CC, cl: C1C1(CcCCcCcNccccCCCCCCCCCCcCcc, target: CCN(CC)CC
origin: C11(CcCCcNCcccccCCC, cl: C1[OccFN2C(CCN+]22C))cc1, target: CCN(CC)CC
origin: C11CCCCNNcCCC(CCC(CC(CCCCCCCCCC(CCcCCC, cl: C(C)[)(C))[C[CNCccn[C, target: CN(C)C
origin: c1111CcNCCc[NNNccc, cl: C11N1CCN)CCNNNNNN, target: CCCN(CCC)CCC
origin: CN+]N1CCN+CC(C(N+]C(CNCCC1Cc2C[N+]3(C1CC)CC1CCCC2, cl: C11(CcCCcNccccCCCCccC(C(C(C((11, target: [C@H]12[C@H]3C[C@H]([C@H]4CCCC[N+]4(C)C3)CN1CCCC2
origin: C((Ccc[CCCcC)CCCC, cl: CNNNCN(CcC)CCCNCcN, target: CN(C)C(N(C)C)=N
origin: C1N1CC)))C)N)c[NNc, cl: c1ccCN+]N(CCCN+](CcCC)C)cccc1, target: C(CN(CCC)CCC)C
origin: C[[N+](C))(Cc)CcCCcC, cl: C1cccc[N+](Cc(CCCC2ccccc)cc2)ccc1, target: CC[N+](CC)(CC)CC
origin: C1O(CCNCc, cl: C(CCC2(CCN(CC[CCO2C22, target: CCN(CC)CC
origin: C1NCNN+]((CCCCCC1)C1C, cl: c1CCN+](C)))(C)1)C)C)c, target: C(CC[N+]1(C)CCCC1)C
origin: c11(Cc)CNccccccc(CCCC(CC((((cCC, cl: C(O1CCCC))CNCNCCCCCCCC((CCCCC(c1, target: CCN(CC)CC
origin: C1[CCCN+](CC(CCC)CC1CC(C11C3)C2, cl: C1c1C(CcNC1cccccccCCCCCCCCCC, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1cFn2CCCC2)c((c(1, cl: cNO)CN(CC))CCC(C)C)C, target: c1(CN2CCCC2)ccccc1
origin: [1c((c(c1CcC)c1, cl: CNCCCCCN(CCOCC2CCN2C12221CC2)C11, target: c1nccc(N(C)C)c1
origin: C11([(CCCCCC[[CCC(CC(((C(cC2c, cl: C1C[CCcC)CCC, target: CCNCC
origin: C1[C2(N1CCC1c(cc(1, cl: C1(C)cNNNNCCCCCCCCC(CCCCCCCCC(C(C(C1, target: C1CCCCCN1Cc1ccccc1
origin: C1cC)cc[n+](Cc(C)c1, cl: C11(CcCC[N[NcCCCC, target: n1(C)cc[n+](CCCC)c1
origin: C11N(CcC)C(CONNccc, cl: C1cccc(1CN+]C(CN+]]NCC)C)C)C, target: CCCN(CCC)CCC
origin: C1[[CC(CN+](CC(CCCCC1C2(C2)C3, cl: CNc1CCCCCOCCC)C)CCCCcCC, target: C1C2CC3[N+](C)(CC)CC1CC(C2)C3
origin: C11(CcNCcNCNNcCCCCCC(CCCC(CCCCCcCCcCCCCC1C1CCC1C1C1111111, cl: C11(N+](C)1)(C11)C1C, target: CCN(CC)CC
origin: C1CC(((22CCCCN+]((C)CCCCCC3)C1C1)C1, cl: C1ccc(C[cc1CNN+](C)(CCCC1cccF)ccc1, target: N12CCCCC1C1C[N+]3(C)C(CCCC3)C(C2)C1
origin: C11C)cC1c(cc(1, cl: C(N1CCCcOCcNCcCcC, target: CN(C)Cc1ccccc1
origin: c1OCCCCCC)C)CCCCcCC, cl: C1OC[N+](CcC(Cc)CcCccccc, target: C(C)(NC(C)C)C
origin: CN+]1((CCCCN+]C(CN+CCC(C(CCC(CCN+](C(CN+cC()22C2)C, cl: CN1(CcCCcNNNcCCNC(C(CCCCCCCcC1C1CC(111CC, target: [N+]12(C)C[C@H]3[C@@H]4CCCCN4C[C@@H]([C@H]1CCCC2)C3
origin: C1c(cC(C)C)ccc1C(CCC, cl: C1CCN(CcNCnCCnCn, target: c1cc(N(C)C)ccn1
origin: C1CCCCCCCNNCCCCCCCCCCCCCCCCCCCCC, cl: C1OC(CC2cccc)ccc2)CC[, target: N(C)(C)C
origin: C1CCC))C))CNC, cl: C1[C2N+]NCCN+]1CC(CC)CCN+]3(CN+cC(C(C1CC1)C2N+]cC2, target: C(N(CC)CC)C
origin: C1C1CCCNC1)(C)CCNCC1)C, cl: C1ccC)N+]2ccC)n(c)cc1)cccc1, target: N(C1CCCCC1)(C1CCCCC1)C
origin: C1CC)N(CCC)C(CNCNc[, cl: C1OCCC)C))C, target: C(CC)N(CCC)CCC
origin: C1CCC(NNN(CCCCNCC1)C, cl: C1ccCn+]]CcCCCN++NcC)cCCCC1C1111, target: C1CCCCC1N(C1CCCCC1)C
origin: C1(N+C(CCCCCN+]cC(C)C12cccc1, cl: C1(CCN+](CC(C)C)CC3CC(C1(C2)C3)C2, target: CN[C@@H](C)[C@@H](O)c1ccccc1
origin: C1N+]1(CN+CC(CC(22)CN+]N3c(N+]((CN+cCN2c)211122)C, cl: C(CCC2c(ccc2)CN++C(CC)CC11, target: C[N+]12[C@H](CCCC1)[C@H]1C[C@H]([C@@H]3CCCCN3C1)C2
origin: C1N)C(CC)CcNCNCCC, cl: C1[C22N+](1CN+]1(CCCCN+]C(CN+ccC(C(CC11C2N+]CC2C1, target: C(C)N(CC)CC
origin: C(CCNCCC2cccc(F)c2)CCCCCC, cl: C1CC)(C))CcNNNcNcCCC, target: C1CCN(Cc2cccc(F)c2)C1
origin: C(O1C(CCOCcNCCCCCC, cl: C(CCc(Cc)CcNCNcNc, target: C(C)N(CC)CCO
origin: C1(Cc2C1(CC)CCC, cl: C11(Cc)CcNNNNccCCCCCCCCCCCcCCcC, target: C1CCCCCN1
origin: N1cccC[N+]2ccn(c)c2C)ccc1, cl: C(N+]1C)(CCCCCCCC(C2)CC(C2)C2)C, target: c1cc(C[n+]2ccn(C)c2C)ccc1
origin: O11N+](C))(C12C1CCCcc, cl: C1ON+](C))(CC)CcCccCccCc, target: CC[N+](CC)(CC)CC
origin: C(CN+](CCCC1(CCCCC12[CC, cl: C(CC[(C))Cc, target: C1[N+](CCCC)(C)CCC1
origin: C[11CcNCcCCcCCCCCC, cl: C1N[CCCC)C)N)CNNNNcC, target: CCN(CC)CC
origin: C1CN+]1CCC(CC)C)Cc, cl: CN[(CcCcCcC[CcCNCcc, target: C([N+](CC)(CC)CC)C
origin: C1((CcOCcNNcccCCCCCCCCCCCCCCCCCCCCC, cl: cNN+]CnCCCCN+]]C(C2ccccc1)C, target: CCN(CC)CC
origin: C1C1CCCCC)CCCCCCCCCCcCCC, cl: [(CCCCC)C)CCCCCCCCCCC, target: N(C(N(C)C)=N)(C)C
origin: C1[CN+](C(C(CC1)CCN+]2(CNcCC(CCCCCN+]((C)CCN+]cC(C1, cl: Cc1(CcNCNNCNCCCC, target: C1C[C@@H]2N(CC1)C[C@H]1[C@H]3CCCC[N+]3(C)C[C@@H]2C1
origin: C(NCCcCC[)ccCNcC(cCCCCCCCCCCCC11C, cl: CNN1CCO)C))C[NccNCCC, target: C(N(CC)CC)C
origin: C11(CcCCC[C[CcC[Ccccc, cl: C(C11)(C)CcNCCCCCCCc, target: CCN(C(C)C)C(C)C
origin: C11(CcNCc)ccccCCCcCC(CCCCCC1CCCCCCc11CCCC1C1C1C1111111111C1111111111C111C11111111111111111111111111111C111111111111111C11111111c111111111111111C111C11C1C(1111c111111111111111111111111111111111111111111111111C11111111(11, cl: C1[CN+]C(CN+](CC(CCN+]CC2C)N+]22C11C1CCCN+]221)C11, target: CCN(CC)CC
origin: C11(CcNCcNCNCCCCCCCCCCCCC(11C1c, cl: C1NCCCCC))c[CNcCCc, target: CCN(CC)CC
